iter	Passed	Remaining
860	2275	367
861	2277	364
862	2280	361
863	2283	359
864	2286	356
865	2289	354
866	2292	351
867	2294	348
868	2297	346
869	2300	343
870	2302	341
871	2305	338
872	2307	335
873	2310	333
874	2313	330
875	2316	327
876	2318	325
877	2321	322
878	2323	319
879	2326	317
880	2329	314
881	2331	311
882	2334	309
883	2337	306
884	2339	304
885	2341	301
886	2344	298
887	2347	296
888	2349	293
889	2352	290
890	2354	288
891	2357	285
892	2359	282
893	2361	280
894	2364	277
895	2366	274
896	2369	272
897	2372	269
898	2374	266
899	2377	264
900	2380	261
901	2383	259
902	2386	256
903	2389	253
904	2392	251
905	2394	248
906	2397	245
907	2399	243
908	2402	240
909	2405	237
910	2407	235
911	2410	232
912	2413	229
913	2416	227
914	2419	224
915	2422	222
916	2425	219
917	2428	216
918	2431	214
919	2434	211
920	2437	209
921	2440	206
922	2443	203
923	2446	201
924	2449	198
925	2451	195
926	2454	193
927	2456	190
928	2460	188
929	2463	185
930	2466	182
931	2468	180
932	2471	177
933	2474	174
934	2476	172
935	2479	169
936	2482	166
937	2485	164
938	2487	161
939	2491	159
940	2493	156
941	2496	153
942	2499	151
943	2502	148
944	2505	145
945	2509	143
946	2511	140
947	2514	137
948	2517	135
949	2520	132
950	2524	130
951	2527	127
952	2529	124
953	2532	122
954	2535	119
955	2537	116
956	2540	114
957	2543	111
958	2546	108
959	2549	106
960	2551	103
961	2554	100
962	2556	98
963	2559	95
964	2561	92
965	2564	90
966	2566	87
967	2568	84
968	2571	82
969	2573	79
970	2576	76
971	2579	74
972	2581	71
973	2584	68
974	2587	66
975	2589	63
976	2592	61
977	2595	58
978	2598	55
979	2601	53
980	2604	50
981	2607	47
982	2610	45
983	2613	42
984	2616	39
985	2619	37
986	2621	34
987	2624	31
988	2627	29
989	2630	26
990	2632	23
991	2635	21
992	2638	18
993	2640	15
994	2644	13
995	2646	10
996	2649	7
997	2651	5
998	2655	2
999	2658	0
